frame,time_sec,model_tag,class_id,class_name,confidence,x1,y1,x2,y2
167,5.567,coco_yolov8s,0,person,0.3017,1619.3,0.5,1918.9,308.3
168,5.600,coco_yolov8s,0,person,0.8196,889.5,235.7,1088.7,825.2
168,5.600,coco_yolov8s,0,person,0.3290,1600.0,0.0,1918.8,367.9
169,5.633,coco_yolov8s,0,person,0.7780,1594.8,0.9,1919.1,560.3
169,5.633,coco_yolov8s,0,person,0.7042,888.6,252.5,1082.0,824.9
169,5.633,coco_yolov8s,0,person,0.3459,719.2,476.7,846.2,918.6
170,5.667,coco_yolov8s,0,person,0.6031,1594.5,0.6,1919.4,569.3
170,5.667,coco_yolov8s,0,person,0.5179,876.4,268.2,1070.9,850.4
171,5.700,coco_yolov8s,0,person,0.8389,1591.6,0.5,1919.1,568.3
171,5.700,coco_yolov8s,0,person,0.7191,880.5,284.0,1067.5,837.8
172,5.733,coco_yolov8s,0,person,0.8656,1589.5,0.8,1919.4,585.7
172,5.733,coco_yolov8s,0,person,0.6825,871.4,299.8,1059.0,744.7
173,5.767,coco_yolov8s,0,person,0.9084,1589.7,0.2,1919.0,599.9
173,5.767,coco_yolov8s,0,person,0.6610,868.4,315.7,1051.5,775.5
173,5.767,coco_yolov8s,0,person,0.4475,715.4,524.3,835.9,916.6
174,5.800,coco_yolov8s,0,person,0.9102,1591.0,0.0,1918.9,608.2
174,5.800,coco_yolov8s,0,person,0.6486,863.6,316.5,1047.6,745.7
175,5.833,coco_yolov8s,0,person,0.9123,1592.4,0.0,1918.9,625.1
